IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,COK,Cook Islands,Year,2021,true,,,,,,,,,,,,,16.75,,,,,,17,,,EN,2023-04-30T16:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AMR,Americas,Country,DMA,Dominica,Year,2021,true,,,,,,,,,,,,,17.08,,,,,,17,,,EN,2023-04-30T16:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,NIU,Niue,Year,2021,true,,,,,,,,,,,,,17.5,,,,,,17,,,EN,2023-04-30T16:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,ETH,Ethiopia,Year,2021,true,,,,,,,,,,,,,29.04,,,,,,29,,,EN,2023-04-30T16:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,MDG,Madagascar,Year,2021,true,,,,,,,,,,,,,29.47,,,,,,29,,,EN,2023-04-30T16:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2021,true,,,,,,,,,,,,,29.95,,,,,,30,,,EN,2023-04-30T16:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2021,true,,,,,,,,,,,,,32.97,,,,,,33,,,EN,2023-04-30T16:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,GAB,Gabon,Year,2021,true,,,,,,,,,,,,,34.37,,,,,,34,,,EN,2023-04-30T16:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2021,true,,,,,,,,,,,,,34.77,,,,,,35,,,EN,2023-04-30T16:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2021,true,,,,,,,,,,,,,34.99,,,,,,35,,,EN,2023-04-30T16:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,AGO,Angola,Year,2021,true,,,,,,,,,,,,,36.07,,,,,,36,,,EN,2023-04-30T16:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,COG,Congo,Year,2021,true,,,,,,,,,,,,,36.21,,,,,,36,,,EN,2023-04-30T16:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,ERI,Eritrea,Year,2021,true,,,,,,,,,,,,,36.43,,,,,,36,,,EN,2023-04-30T16:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,SSD,South Sudan,Year,2021,true,,,,,,,,,,,,,35.58,,,,,,36,,,EN,2023-04-30T16:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,MNG,Mongolia,Year,2021,true,,,,,,,,,,,,,36.89,,,,,,37,,,EN,2023-04-30T16:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2021,true,,,,,,,,,,,,,37.56,,,,,,38,,,EN,2023-04-30T16:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,CAF,Central African Republic,Year,2021,true,,,,,,,,,,,,,38.69,,,,,,39,,,EN,2023-04-30T16:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,TCD,Chad,Year,2021,true,,,,,,,,,,,,,41.09,,,,,,41,,,EN,2023-04-30T16:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,GHA,Ghana,Year,2021,true,,,,,,,,,,,,,41.42,,,,,,41,,,EN,2023-04-30T16:00:00.000Z
