Location,Year,"Total Healthcare Workers per 10,000 Population",Indicator,Gender,Value
Cambodia,2019,12.392,Life expectancy at age 60 (years),Both sexes,17.32
Cambodia,2018,7.816,Life expectancy at age 60 (years),Both sexes,17.26
Cambodia,2017,7.086,Life expectancy at age 60 (years),Both sexes,17.21
Cambodia,2016,7.26,Life expectancy at age 60 (years),Both sexes,17.18
Cambodia,2015,5.928,Life expectancy at age 60 (years),Both sexes,17.13
Cambodia,2014,12.109000000000002,Life expectancy at age 60 (years),Both sexes,17.08
Cambodia,2013,9.983,Life expectancy at age 60 (years),Both sexes,17.03
Cambodia,2012,11.356000000000002,Life expectancy at age 60 (years),Both sexes,16.97
Cambodia,2011,11.571000000000002,Life expectancy at age 60 (years),Both sexes,16.88
Cambodia,2010,11.371999999999998,Life expectancy at age 60 (years),Both sexes,16.8
Cambodia,2009,11.432999999999998,Life expectancy at age 60 (years),Both sexes,16.73
Cambodia,2008,11.443,Life expectancy at age 60 (years),Both sexes,16.66
Cambodia,2000,11.506,Life expectancy at age 60 (years),Both sexes,15.32
Indonesia,2021,22.457,Life expectancy at age 60 (years),Both sexes,15.4
Indonesia,2020,48.181999999999995,Life expectancy at age 60 (years),Both sexes,16.51
Indonesia,2019,44.291,Life expectancy at age 60 (years),Both sexes,18.06
Indonesia,2018,36.904,Life expectancy at age 60 (years),Both sexes,18.0
Indonesia,2017,26.594,Life expectancy at age 60 (years),Both sexes,17.95
Indonesia,2015,17.348,Life expectancy at age 60 (years),Both sexes,17.8
Indonesia,2012,2.414,Life expectancy at age 60 (years),Both sexes,17.54
Indonesia,2010,1.741,Life expectancy at age 60 (years),Both sexes,17.35
Indonesia,2009,1.742,Life expectancy at age 60 (years),Both sexes,17.32
Indonesia,2003,9.686,Life expectancy at age 60 (years),Both sexes,17.32
Malaysia,2020,22.281,Life expectancy at age 60 (years),Both sexes,21.5
Malaysia,2019,54.539,Life expectancy at age 60 (years),Both sexes,19.8
Malaysia,2018,63.567,Life expectancy at age 60 (years),Both sexes,19.69
Malaysia,2017,59.165,Life expectancy at age 60 (years),Both sexes,19.58
Malaysia,2016,56.725,Life expectancy at age 60 (years),Both sexes,19.59
Malaysia,2015,62.51200000000001,Life expectancy at age 60 (years),Both sexes,19.4
Malaysia,2014,53.987,Life expectancy at age 60 (years),Both sexes,19.58
Malaysia,2013,53.764,Life expectancy at age 60 (years),Both sexes,19.61
Malaysia,2012,55.225,Life expectancy at age 60 (years),Both sexes,19.48
