Location,Indicator,Year,Gender,Life Expectancy at Birth,Healthcare Expenditure
Indonesia,Life expectancy at birth (years),2021,Both sexes,68.26,3.70636249
Indonesia,Life expectancy at birth (years),2021,Male,66.41,3.70636249
Indonesia,Life expectancy at birth (years),2021,Female,70.18,3.70636249
Indonesia,Life expectancy at birth (years),2020,Both sexes,69.7,3.42067289
Indonesia,Life expectancy at birth (years),2020,Male,67.6,3.42067289
Indonesia,Life expectancy at birth (years),2020,Female,71.89,3.42067289
Indonesia,Life expectancy at birth (years),2019,Both sexes,71.4,2.87862897
Indonesia,Life expectancy at birth (years),2019,Male,69.55,2.87862897
Indonesia,Life expectancy at birth (years),2019,Female,73.26,2.87862897
Indonesia,Life expectancy at birth (years),2018,Both sexes,71.18,2.86757827
Indonesia,Life expectancy at birth (years),2018,Male,69.36,2.86757827
Indonesia,Life expectancy at birth (years),2018,Female,73.0,2.86757827
Indonesia,Life expectancy at birth (years),2017,Both sexes,71.0,2.90417194
Indonesia,Life expectancy at birth (years),2017,Male,69.2,2.90417194
Indonesia,Life expectancy at birth (years),2017,Female,72.81,2.90417194
Indonesia,Life expectancy at birth (years),2016,Both sexes,70.78,3.02147198
Indonesia,Life expectancy at birth (years),2016,Male,68.99,3.02147198
Indonesia,Life expectancy at birth (years),2016,Female,72.57,3.02147198
Indonesia,Life expectancy at birth (years),2015,Both sexes,70.54,2.92428517
Indonesia,Life expectancy at birth (years),2015,Male,68.76,2.92428517
Indonesia,Life expectancy at birth (years),2015,Female,72.32,2.92428517
Indonesia,Life expectancy at birth (years),2014,Both sexes,70.3,2.96433568
Indonesia,Life expectancy at birth (years),2014,Male,68.54,2.96433568
Indonesia,Life expectancy at birth (years),2014,Female,72.07,2.96433568
Indonesia,Life expectancy at birth (years),2013,Both sexes,70.05,2.86934805
Indonesia,Life expectancy at birth (years),2013,Male,68.32,2.86934805
Indonesia,Life expectancy at birth (years),2013,Female,71.8,2.86934805
Indonesia,Life expectancy at birth (years),2012,Both sexes,69.79,2.91427088
Indonesia,Life expectancy at birth (years),2012,Male,68.07,2.91427088
Indonesia,Life expectancy at birth (years),2012,Female,71.52,2.91427088
Indonesia,Life expectancy at birth (years),2011,Both sexes,69.52,2.98942471
Indonesia,Life expectancy at birth (years),2011,Male,67.82,2.98942471
Indonesia,Life expectancy at birth (years),2011,Female,71.23,2.98942471
Indonesia,Life expectancy at birth (years),2010,Both sexes,69.24,2.7908783
Indonesia,Life expectancy at birth (years),2010,Male,67.54,2.7908783
Indonesia,Life expectancy at birth (years),2010,Female,70.93,2.7908783
Indonesia,Life expectancy at birth (years),2009,Both sexes,69.02,2.62324095
Indonesia,Life expectancy at birth (years),2009,Male,67.37,2.62324095
Indonesia,Life expectancy at birth (years),2009,Female,70.68,2.62324095
Indonesia,Life expectancy at birth (years),2008,Both sexes,68.84,2.54842305
Indonesia,Life expectancy at birth (years),2008,Male,67.23,2.54842305
Indonesia,Life expectancy at birth (years),2008,Female,70.45,2.54842305
Indonesia,Life expectancy at birth (years),2007,Both sexes,68.64,2.82385564
Indonesia,Life expectancy at birth (years),2007,Male,67.07,2.82385564
Indonesia,Life expectancy at birth (years),2007,Female,70.2,2.82385564
